district_id,upozila_id,ইউনিয়ন
1,1,কয়া
1,1,চরসাদীপুর
1,1,চাপড়া
1,1,চাঁদপুর
1,1,জগন্নাথপুর
1,1,নন্দলালপুর
1,1,পান্টি
1,1,বাগুলাট
1,1,যদুবয়রা
1,1,শিলাইদহ
1,1,সদকী
1,2,হাটশ হরিপুর
1,2,বারখাদা
1,2,মজমপুর
1,2,বটতৈল
1,2,আলামপুর
1,2,জিয়ারখি
1,2,আইলচারা
1,2,পাটিকাবাড়ী
1,2,ঝাউদিয়া
1,2,উজানগ্রাম
1,2,আব্দালপুর
1,2,হরিনারায়ণপুর
1,2,মনোহরদিয়া
1,2,গোস্বামীদূর্গাপুর
1,3,খোকসা
1,3,ওসমানপুর
1,3,বেতবাড়ীয়া
1,3,জানিপুর
1,3,শিমুলিয়া
1,3,শোমসপুর
1,3,গোপগ্রাম
1,3,জয়ন্তীহাজরা
1,3,আমবাড়ীয়া
1,4,দৌলতপুর
1,4,রেফাইতপুর
1,4,আদাবাড়ীয়া
1,4,হোগলবাড়ীয়া
1,4,বোয়ালিয়া
1,4,ফিলিপনগর
1,4,মথুরাপুর
1,4,প্রাগপুর
1,4,মরিচা
1,4,চিলমারী
1,4,রামকৃষ্ণপুর
1,4,আড়িয়া
1,4,খলিষাকুন্ডি
1,4,পিয়ারপুর
1,5,জুনিয়াদহ
1,5,বাহিরচর
1,5,ধরমপুর
1,5,চাঁদগ্রাম
1,5,মোকারিমপুর
1,5,বাহাদুরপুর
1,6,বহলবাড়ীয়া
1,6,চিথলিয়া
1,6,তালবাড়ীয়া
1,6,বারুইপাড়া
1,6,ফুলবাড়ীয়া
1,6,আমলা
1,6,সদরপুর
1,6,ছাতিয়ান
1,6,পোড়াদহ
1,6,কুর্শা
1,6,মালিহাদ
1,6,আমবাড়ীয়া
1,6,ধুবইল
2,7,কয়রা
2,7,মহারাজপুর
2,7,মহেশ্বরীপুর
2,7,উত্তর বেদকাশী
2,7,দক্ষিণ বেদকাশী
2,7,আমাদি
2,7,বাগালী
2,8,ডুমুরিয়া
2,8,মাগুরাঘোনা
2,8,ভান্ডারপাড়া
2,8,সাহস
2,8,রুদাঘরা
2,8,গুটুদিয়া
2,8,শোভনা
2,8,খর্ণিয়া
2,8,আটলিয়া
2,8,ধামালিয়া
2,8,মাগুরখালী
2,8,রঘুনাথপুর
2,8,রংপুর
2,8,শরাফপুর
2,9,তেরখাদা
2,9,ছাগলাদহ
2,9,বারাসাত
2,9,সাচিয়াদাহ
2,9,মধুপুর
2,9,আজগড়া
2,10,বাজুয়া
2,10,কামারখোলা
2,10,তিলডাঙ্গা
2,10,সুতারখালী
2,10,লাউডোব
2,10,পানখালী
2,10,বানিশান্তা
2,10,কৈলাশগঞ্জ
2,11,গাজীরহাট
2,11,বারাকপুর
2,11,দিঘলিয়া
2,11,সেনহাটি
2,11,আড়ংঘাটা
2,11,যোগীপোল
2,12,হরিঢালী
2,12,গড়ইখালী
2,12,কপিলমুনি
2,12,লতা
2,12,দেলুটি
2,12,লস্কর
2,12,গদাইপুর
2,12,রাড়ুলী
2,12,চাঁদখালী
2,12,সোলাদানা
2,13,দামোদর
2,13,ফুলতলা
2,13,জামিরা
2,13,আটরা গিলাতলা
2,14,জলমা
2,14,বটিয়াঘাটা
2,14,গঙ্গারামপুর
2,14,সুরখালী
2,14,ভান্ডারকোট
2,14,বালিয়াডাঙ্গা
2,14,আমিরপুর
2,15,আইচগাতী
2,15,শ্রীফলতলা
2,15,নৈহাটি
2,15,টিএসবি
2,15,ঘাটভোগ
3,16,আইলহাঁস
3,16,ভাংবাড়িয়া
3,16,হারদী
3,16,কুমারী
3,16,বাড়াদী
3,16,গাংনী
3,16,খাদিমপুর
3,16,জেহালা
3,16,বেলগাছি
3,16,ডাউকী
3,16,জামজামী
3,16,নাগদাহ
3,16,খাসকররা
3,16,কালিদাসপুর
3,16,চিৎলা
3,17,আলুকদিয়া
3,17,মোমিনপুর
3,17,তিতুদহ
3,17,শংকরচন্দ্র
3,17,বেগমপুর
3,17,কুতুবপুর
3,17,পদ্মবিলা
3,17,মাখালডাঙ্গা‌
3,17,গড়াইটুপি
3,17,নেহালপুর
3,18,উথলী
3,18,আন্দুলবাড়িয়া
3,18,বাঁকা
3,18,রায়পুর
3,18,সীমান্ত
3,18,হাসাদাহ
3,18,মনোহরপুর
3,18,কেডিকে
3,19,দামুড়হুদা
3,19,কার্পাসডাঙ্গা
3,19,নতিপোতা
3,19,হাউলী
3,19,কুড়ুলগাছী
3,19,পারকৃষ্ণপুর মদনা
3,19,জুড়ানপুর এবং নাটুদহ
4,20,সুন্দরপুর-দুর্গাপুর
4,20,জামাল
4,20,কোলা
4,20,নিয়ামতপুর
4,20,শিমলা-রোকনপুর
4,20,ত্রিলোচনপুর
4,20,রায়গ্রাম
4,20,মালিয়াট
4,20,বারবাজার
4,20,কাষ্টভাঙ্গা
4,20,রাখালগাছি
4,21,সাফদারপুর
4,21,দোড়া
4,21,কুশনা
4,21,বলুহর
4,21,এলাঙ্গী
4,22,সাধুহাটী
4,22,মধুহাটী
4,22,সাগান্না
4,22,হলিধানী
4,22,কুমড়াবাড়ীয়া
4,22,গান্না
4,22,মহারাজপুর
4,22,পাগলাকানাই
4,22,পোড়াহাটী
4,22,হরিশংকরপুর
4,22,পদ্মাকর
4,22,দোগাছি
4,22,ফুরসন্দি
4,22,ঘোড়শাল
4,22,কালীচরণপুর
4,22,সুরাট
4,22,নলডাঙ্গা
4,23,এসবিকে
4,23,ফতেপুর
4,23,পান্তাপাড়া
4,23,স্বরুপপুর
4,23,শ্যামকুড়
4,23,নেপা
4,23,কাজীরবেড়
4,23,বাঁশবাড়ীয়া
4,23,যাদবপুর
4,23,নাটিমা
4,23,মান্দারবাড়িয়া
4,23,আজমপুর
4,24,ত্রিবেনী
4,24,মির্জাপুর
4,24,দিগনগর
4,24,কাঁচেরকোল
4,24,সারুটিয়া
4,24,হাকিমপুর
4,24,ধলহরাচন্দ্র
4,24,মনোহরপুর
4,24,বগুড়া
4,24,আবাইপুর
4,24,নিত্যানন্দপুর
4,24,উমেদপুর
4,24,দুধসর
4,24,ফুলহরি
4,25,ভায়না
4,25,জোড়াদহ
4,25,তাহেরহুদা
4,25,দৌলতপুর
4,25,কাপাশহাটিয়া
4,25,ফলসী
4,25,রঘুনাথপুর
4,25,চাঁদপুর
5,26,বাবরা হাচলা
5,26,পুরুলিয়া
5,26,হামিদপুর
5,26,মাউলী
5,26,সালামাবাদ
