district_id,upozila_id,উপজেলা
1,1,কুমারখালী
1,2,কুষ্টিয়া সদর
1,3,খোকসা
1,4,দৌলতপুর
1,5,ভেড়ামারা
1,6,মিরপুর
2,7,কয়রা
2,8,ডুমুরিয়া
2,9,তেরখাদা
2,10,দাকোপ
2,11,দিঘলিয়া
2,12,পাইকগাছা
2,13,ফুলতলা
2,14,বটিয়াঘাটা
2,15,রূপসা
3,16,আলমডাঙ্গা
3,17,চুয়াডাঙ্গা সদর
3,18,জীবননগর
3,19,দামুড়হুদা
4,20,কালীগঞ্জ
4,21,কোটচাঁদপুর
4,22,ঝিনাইদহ সদর
4,23,মহেশপুর
4,24,শৈলকুপা
4,25,হরিণাকুণ্ডু
5,26,কালিয়া
5,27,নড়াইল সদর
5,28,লোহাগড়া
6,29,কচুয়া
6,30,চিতলমারী
6,31,ফকিরহাট
6,32,বাগেরহাট সদর
6,33,মোংলা
6,34,মোড়েলগঞ্জ
6,35,মোল্লাহাট
6,36,রামপাল
6,37,শরণখোলা
7,38,মাগুরা সদর
7,39,মহম্মদপুর
7,40,শালিখা
7,41,শ্রীপুর
8,42,গাংনী
8,43,মেহেরপুর সদর
8,44,মুজিবনগর
9,45,অভয়নগর
9,46,কেশবপুর
9,47,চৌগাছা
9,48,ঝিকরগাছা
9,49,বাঘেরপাড়া
9,50,মনিরামপুর
9,51,যশোর সদর
9,52,শার্শা
10,53,সাতক্ষীরা সদর
10,54,আশাশুনি
10,55,কলারোয়া
10,20,কালীগঞ্জ
10,56,তালা
10,57,দেবহাটা
10,58,শ্যামনগর
11,59,আনোয়ারা
11,60,কর্ণফুলী
11,61,চন্দনাইশ
11,62,পটিয়া
11,63,ফটিকছড়ি
11,64,বাঁশখালী
11,65,বোয়ালখালী
11,66,মীরসরাই
11,67,রাউজান
11,68,রাঙ্গুনিয়া
11,69,লোহাগাড়া
11,70,সন্দ্বীপ
11,71,সাতকানিয়া
11,72,সীতাকুণ্ড
11,73,হাটহাজারী
12,74,উখিয়া
12,75,কক্সবাজার সদর
12,76,কুতুবদিয়া
12,77,চকরিয়া
12,78,টেকনাফ
12,79,পেকুয়া
12,80,মহেশখালী
12,81,রামু
12,82,ঈদগাঁও
13,83,আশুগঞ্জ
13,84,আখাউড়া
13,85,কসবা
13,86,নবীনগর
13,87,নাসিরনগর
13,88,বাঞ্ছারামপুর
13,89,ব্রাহ্মণবাড়িয়া সদর
13,90,সরাইল
13,91,বিজয়নগর
14,92,আলীকদম
14,93,থানচি
14,94,নাইক্ষ্যংছড়ি
14,95,বান্দরবান সদর
14,96,রুমা
14,97,রোয়াংছড়ি
14,98,লামা
15,99,খাগড়াছড়ি সদর
15,100,গুইমারা
15,101,দীঘিনালা
15,102,পানছড়ি
15,103,মহালছড়ি
15,104,মাটিরাঙ্গা
15,105,মানিকছড়ি
15,106,রামগড়
15,107,লক্ষ্মীছড়ি
16,108,কাউখালী
16,109,কাপ্তাই
16,110,জুরাছড়ি
16,111,নানিয়ারচর
16,112,বরকল
16,113,বাঘাইছড়ি
16,114,বিলাইছড়ি
16,115,রাঙ্গামাটি সদর
16,116,রাজস্থলী
16,117,লংগদু
17,118,কবিরহাট
17,119,কোম্পানীগঞ্জ
17,120,চাটখিল
17,121,নোয়াখালী সদর
17,122,বেগমগঞ্জ
17,123,সুবর্ণচর
17,124,সেনবাগ
17,125,সোনাইমুড়ি
17,126,হাতিয়া
18,127,কমলনগর
18,128,রামগঞ্জ
18,129,রামগতি
18,130,রায়পুর
18,131,লক্ষ্মীপুর সদর
19,132,ফেনী সদর
19,133,দাগনভূঞা
19,134,সোনাগাজী
19,135,ছাগলনাইয়া
19,136,পরশুরাম
19,137,ফুলগাজী
20,138,বরুড়া
20,139,চান্দিনা
20,140,দাউদকান্দি
20,141,লাকসাম
20,142,ব্রাহ্মণপাড়া
20,143,বুড়িচং
20,144,চৌদ্দগ্রাম
20,145,দেবিদ্বার
20,146,হোমনা
20,147,মুরাদনগর
20,148,নাঙ্গলকোট
20,149,মেঘনা
20,150,তিতাস
20,151,মনোহরগঞ্জ
20,152,কুমিল্লা আদর্শ সদর
20,153,কুমিল্লা সদর দক্ষিণ
20,154,লালমাই
21,29,কচুয়া
21,155,চাঁদপুর সদর
21,156,ফরিদগঞ্জ
21,157,মতলব উত্তর
21,158,মতলব দক্ষিণ
21,159,শাহরাস্তি
21,160,হাইমচর
21,161,হাজীগঞ্জ
22,162,কিশোরগঞ্জ সদর
22,163,অষ্টগ্রাম
22,164,ইটনা
22,165,করিমগঞ্জ
22,166,কটিয়াদী
22,167,কুলিয়ারচর
22,168,তাড়াইল
22,169,নিকলী
22,170,পাকুন্দিয়া
22,171,বাজিতপুর
22,172,ভৈরব
22,173,মিঠামইন
22,174,হোসেনপুর
23,175,কালিয়াকৈর
23,20,কালীগঞ্জ
23,176,কাপাসিয়া
23,177,গাজীপুর সদর
23,41,শ্রীপুর
24,178,গোপালগঞ্জ সদর
24,179,মুকসুদপুর
24,180,কাশিয়ানী
24,181,কোটালীপাড়া
24,182,টুঙ্গিপাড়া
25,183,টাঙ্গাইল সদর
25,184,কালিহাতী
25,185,ঘাটাইল
25,186,বাসাইল
25,187,গোপালপুর
25,188,মির্জাপুর
25,189,ভূঞাপুর
25,190,নাগরপুর
25,191,মধুপুর
25,192,সখিপুর
25,193,দেলদুয়ার
25,194,ধনবাড়ী
26,195,তেজগাঁও উন্নয়ন সার্কেল
26,196,দোহার
26,197,নবাবগঞ্জ
26,198,কেরানীগঞ্জ
26,199,সাভার
26,200,ধামরাই
27,201,নরসিংদী সদর
27,202,রায়পুরা
27,203,বেলাবো
27,204,পলাশ
27,205,মনোহরদী
27,206,শিবপুর
28,207,নারায়ণগঞ্জ সদর
28,208,বন্দর
28,209,আড়াইহাজার
28,210,রূপগঞ্জ
28,211,সোনারগাঁও
29,212,ফরিদপুর সদর
29,213,বোয়ালমারী
29,214,আলফাডাঙা
29,215,মধুখালী
29,216,ভাঙ্গা
29,217,নগরকান্দা
29,218,চরভদ্রাসন
29,219,সদরপুর
29,220,সালথা
30,221,মাদারীপুর সদর
30,222,শিবচর
30,223,কালকিনি
30,224,রাজৈর
30,225,ডাসার
31,226,ঘিওর
31,4,দৌলতপুর
31,227,মানিকগঞ্জ সদর
31,228,শিবালয়
31,229,সাটুরিয়া
31,230,সিঙ্গাইর
31,231,হরিরামপুর
32,232,মুন্সীগঞ্জ সদর
32,233,টংগিবাড়ী
32,234,শ্রীনগর
32,235,লৌহজং
32,236,গজারিয়া
32,237,সিরাজদিখান
33,238,রাজবাড়ী সদর
33,239,গোয়ালন্দ
33,240,পাংশা
33,241,বালিয়াকান্দি
33,242,কালুখালী
34,243,জাজিরা
34,244,শরীয়তপুর সদর
34,245,গোসাইরহাট
34,246,ডামুড্যা
34,247,ভেদরগঞ্জ
34,248,নড়িয়া
35,249,বরিশাল সদর
35,250,গৌরনদী
35,251,মুলাদী
35,252,মেহেন্দিগঞ্জ
35,253,বাবুগঞ্জ
35,254,হিজলা
35,255,উজিরপুর
35,256,বাকেরগঞ্জ
35,257,আগৈলঝাড়া
35,258,বানারীপাড়া
36,259,ভোলা সদর
36,260,বোরহানউদ্দিন
36,261,দৌলতখান
36,262,লালমোহন
36,263,তজুমদ্দিন
36,264,চরফ্যাশন
36,265,মনপুরা
37,266,ঝালকাঠি সদর
37,267,কাঁঠালিয়া
37,268,নলছিটি
37,269,রাজাপুর
38,270,পটুয়াখালী সদর
38,271,দুমকি
38,272,মির্জাগঞ্জ
38,273,দশমিনা
38,274,বাউফল
38,275,কলাপাড়া
38,276,গলাচিপা
38,277,রাঙ্গাবালী
39,278,ভান্ডারিয়া
39,108,কাউখালী
39,279,মঠবাড়িয়া
39,280,নাজিরপুর
39,281,পিরোজপুর সদর
39,282,নেছারাবাদ
39,283,ইন্দুরকানী
40,284,বরগুনা সদর
40,285,আমতলী
40,286,বেতাগী
40,287,বামনা
40,288,পাথরঘাটা
40,289,তালতলী
41,290,ত্রিশাল
41,291,ময়মনসিংহ সদর
41,292,ঈশ্বরগঞ্জ
41,293,গফরগাঁও
41,294,গৌরীপুর
41,295,তারাকান্দা
41,296,ধোবাউড়া
41,297,নান্দাইল
41,298,ফুলপুর
41,299,ফুলবাড়িয়া
41,300,ভালুকা
41,301,হালুয়াঘাট
41,302,মুক্তাগাছা
42,303,ইসলামপুর
42,304,জামালপুর সদর
42,305,দেওয়ানগঞ্জ
42,306,বকশীগঞ্জ
42,307,মাদারগঞ্জ
42,308,মেলান্দহ
42,309,সরিষাবাড়ী
43,310,আটপাড়া
43,311,কলমাকান্দা
43,312,কেন্দুয়া
